Entity,Code,Year,Green coffee - Production (tonnes)
Brazil,BRA,1961,2228704
Brazil,BRA,1962,2190303
Brazil,BRA,1963,1650527
Brazil,BRA,1964,1042013
Brazil,BRA,1965,2294047
Brazil,BRA,1966,1202868
Brazil,BRA,1967,1507500
Brazil,BRA,1968,1057700
Brazil,BRA,1969,1283500
Brazil,BRA,1970,754800
Brazil,BRA,1971,1551462
Brazil,BRA,1972,1495705
Brazil,BRA,1973,872897
Brazil,BRA,1974,1615309
Brazil,BRA,1975,1272298
Brazil,BRA,1976,375985
Brazil,BRA,1977,975385
Brazil,BRA,1978,1267661
Brazil,BRA,1979,1332772
Brazil,BRA,1980,1061195
Brazil,BRA,1981,2032210
Brazil,BRA,1982,957931
Brazil,BRA,1983,1671588
Brazil,BRA,1984,1420281
Brazil,BRA,1985,1910646
Brazil,BRA,1986,1041406
Brazil,BRA,1987,2202708
Brazil,BRA,1988,1348014
Brazil,BRA,1989,1532335
Brazil,BRA,1990,1464856
Brazil,BRA,1991,1520382
Brazil,BRA,1992,1294373
Brazil,BRA,1993,1278759
Brazil,BRA,1994,1307289
Brazil,BRA,1995,930135
Brazil,BRA,1996,1369196
Brazil,BRA,1997,1228513
Brazil,BRA,1998,1689366
Brazil,BRA,1999,1631852
Brazil,BRA,2000,1903562
Brazil,BRA,2001,1819569
Brazil,BRA,2002,2610524
Brazil,BRA,2003,1987074
Brazil,BRA,2004,2465710
Brazil,BRA,2005,2140169
Brazil,BRA,2006,2573368
Brazil,BRA,2007,2249011
Brazil,BRA,2008,2796927
Brazil,BRA,2009,2440056
Brazil,BRA,2010,2907265
Brazil,BRA,2011,2700540
Brazil,BRA,2012,3037534
Brazil,BRA,2013,2964538
Brazil,BRA,2014,2804070
Brazil,BRA,2015,2647504
Brazil,BRA,2016,3024466
Brazil,BRA,2017,2684508
Brazil,BRA,2018,3552729
Brazil,BRA,2019,3011745
Brazil,BRA,2020,3705719
Brazil,BRA,2021,2985581
Brazil,BRA,2022,3179341
Brazil,BRA,2023,3348510
Brazil,BRA,2024,3387724
Colombia,COL,1961,450000
Colombia,COL,1962,482100
Colombia,COL,1963,450000
Colombia,COL,1964,468000
Colombia,COL,1965,492000
Colombia,COL,1966,492000
Colombia,COL,1967,456000
Colombia,COL,1968,480000
Colombia,COL,1969,474000
Colombia,COL,1970,507000
Colombia,COL,1971,468000
Colombia,COL,1972,432000
Colombia,COL,1973,528000
Colombia,COL,1974,470000
Colombia,COL,1975,513200
Colombia,COL,1976,483000
Colombia,COL,1977,639420
Colombia,COL,1978,683220
Colombia,COL,1979,713340
Colombia,COL,1980,724380
Colombia,COL,1981,782200
Colombia,COL,1982,773600
Colombia,COL,1983,768600
Colombia,COL,1984,807800
Colombia,COL,1985,643100
Colombia,COL,1986,713500
Colombia,COL,1987,651600
Colombia,COL,1988,708700
Colombia,COL,1989,664000
Colombia,COL,1990,845000
Colombia,COL,1991,970740
Colombia,COL,1992,1100000
Colombia,COL,1993,818220
Colombia,COL,1994,721860
Colombia,COL,1995,821820
Colombia,COL,1996,671401
Colombia,COL,1997,642239
Colombia,COL,1998,766980
Colombia,COL,1999,546720
Colombia,COL,2000,637140
Colombia,COL,2001,656160
Colombia,COL,2002,696840
Colombia,COL,2003,694080
Colombia,COL,2004,674400
Colombia,COL,2005,667140
Colombia,COL,2006,724740
Colombia,COL,2007,757080
Colombia,COL,2008,688680
Colombia,COL,2009,468720
Colombia,COL,2010,535380
Colombia,COL,2011,468540
Colombia,COL,2012,462000
Colombia,COL,2013,653160
Colombia,COL,2014,728400
Colombia,COL,2015,827750
Colombia,COL,2016,818243
Colombia,COL,2017,851640
Colombia,COL,2018,813420
Colombia,COL,2019,885120
Colombia,COL,2020,833400
Colombia,COL,2021,560340
Colombia,COL,2022,665015.94
Colombia,COL,2023,680857.7
Colombia,COL,2024,839846.7
Ethiopia,ETH,1993,180000
Ethiopia,ETH,1994,207000
Ethiopia,ETH,1995,229980
Ethiopia,ETH,1996,229980
Ethiopia,ETH,1997,228000
Ethiopia,ETH,1998,229980
Ethiopia,ETH,1999,217450
Ethiopia,ETH,2000,229980
Ethiopia,ETH,2001,157155
Ethiopia,ETH,2002,160000
Ethiopia,ETH,2003,126188
Ethiopia,ETH,2004,156170
Ethiopia,ETH,2005,171631
Ethiopia,ETH,2006,241482
Ethiopia,ETH,2007,273400
Ethiopia,ETH,2008,260239
Ethiopia,ETH,2009,265469
Ethiopia,ETH,2010,370569
Ethiopia,ETH,2011,442270
Ethiopia,ETH,2012,449740
Ethiopia,ETH,2013,392006
Ethiopia,ETH,2014,467860
Ethiopia,ETH,2015,501240
Ethiopia,ETH,2016,494819
Ethiopia,ETH,2017,549531
Ethiopia,ETH,2018,573986
Ethiopia,ETH,2019,573580
Ethiopia,ETH,2020,584789.56
Ethiopia,ETH,2021,590400
Ethiopia,ETH,2022,545566.4
Ethiopia,ETH,2023,559400
Ethiopia,ETH,2024,575696.2
Indonesia,IDN,1961,103100
Indonesia,IDN,1962,106700
Indonesia,IDN,1963,139600
Indonesia,IDN,1964,118200
Indonesia,IDN,1965,134500
Indonesia,IDN,1966,142200
Indonesia,IDN,1967,153478
Indonesia,IDN,1968,157347
Indonesia,IDN,1969,173613
Indonesia,IDN,1970,185091
Indonesia,IDN,1971,180916
Indonesia,IDN,1972,178735
Indonesia,IDN,1973,150163
Indonesia,IDN,1974,149811
Indonesia,IDN,1975,170372
Indonesia,IDN,1976,193377
Indonesia,IDN,1977,193966
Indonesia,IDN,1978,222690
Indonesia,IDN,1979,273675
Indonesia,IDN,1980,294973
Indonesia,IDN,1981,314899
Indonesia,IDN,1982,281251
Indonesia,IDN,1983,305648
Indonesia,IDN,1984,315489
Indonesia,IDN,1985,311398
Indonesia,IDN,1986,356822
Indonesia,IDN,1987,388669
Indonesia,IDN,1988,391095
Indonesia,IDN,1989,401048
Indonesia,IDN,1990,412767
Indonesia,IDN,1991,428305
Indonesia,IDN,1992,436930
Indonesia,IDN,1993,438868
Indonesia,IDN,1994,450191
Indonesia,IDN,1995,457801
Indonesia,IDN,1996,421751
Indonesia,IDN,1997,426800
Indonesia,IDN,1998,512165
Indonesia,IDN,1999,524687
Indonesia,IDN,2000,554574
Indonesia,IDN,2001,569234
Indonesia,IDN,2002,682019
Indonesia,IDN,2003,663571
Indonesia,IDN,2004,647385
Indonesia,IDN,2005,640365
Indonesia,IDN,2006,682158
Indonesia,IDN,2007,676475
Indonesia,IDN,2008,698016
Indonesia,IDN,2009,682591
Indonesia,IDN,2010,684076
Indonesia,IDN,2011,638600
Indonesia,IDN,2012,691163
Indonesia,IDN,2013,675800
Indonesia,IDN,2014,643900
Indonesia,IDN,2015,639412
Indonesia,IDN,2016,639305
Indonesia,IDN,2017,717962
Indonesia,IDN,2018,756051
Indonesia,IDN,2019,752512
Indonesia,IDN,2020,762380
Indonesia,IDN,2021,786191
Indonesia,IDN,2022,774960.5
Indonesia,IDN,2023,758725
Indonesia,IDN,2024,807578
Vietnam,VNM,1961,4100
Vietnam,VNM,1962,4020
Vietnam,VNM,1963,4500
Vietnam,VNM,1964,5500
Vietnam,VNM,1965,7500
Vietnam,VNM,1966,6300
Vietnam,VNM,1967,7000
Vietnam,VNM,1968,6000
Vietnam,VNM,1969,6500
Vietnam,VNM,1970,7300
Vietnam,VNM,1971,6500
Vietnam,VNM,1972,7000
Vietnam,VNM,1973,6600
Vietnam,VNM,1974,6000
Vietnam,VNM,1975,6800
Vietnam,VNM,1976,9700
Vietnam,VNM,1977,5600
Vietnam,VNM,1978,5400
Vietnam,VNM,1979,5100
Vietnam,VNM,1980,8400
Vietnam,VNM,1981,5300
Vietnam,VNM,1982,5300
Vietnam,VNM,1983,5700
Vietnam,VNM,1984,4800
Vietnam,VNM,1985,12300
Vietnam,VNM,1986,25000
Vietnam,VNM,1987,27500
Vietnam,VNM,1988,42000
Vietnam,VNM,1989,40900
Vietnam,VNM,1990,92000
Vietnam,VNM,1991,100000
Vietnam,VNM,1992,119200
Vietnam,VNM,1993,136100
Vietnam,VNM,1994,180000
Vietnam,VNM,1995,218000
Vietnam,VNM,1996,320100
Vietnam,VNM,1997,420500
Vietnam,VNM,1998,409300
Vietnam,VNM,1999,553200
