year,price_cents_per_lb,temp_anomaly_c
2000,87.68636322021484,0.39
2001,53.27000007629395,0.53
2002,52.69999961853027,0.62
2003,61.504545731977984,0.61
2004,79.64499969482422,0.53
2005,106.52727300470525,0.68
2006,108.13499908447265,0.64
2007,119.22999877929688,0.66
2008,131.76818154074928,0.54
2009,126.28888871934679,0.65
2010,166.79999889026988,0.72
2011,253.68182095614347,0.61
2012,166.10555521647134,0.64
2013,125.5099983215332,0.67
2014,180.8045460094105,0.75
2015,130.00555419921875,0.89
2016,137.61363567005503,1.01
2017,131.24000091552733,0.91
2018,111.45999908447266,0.85
2019,101.40499954223633,0.98
2020,110.61000061035156,1.01
2021,171.07272893732244,0.85
2022,212.95000110973012,0.89
2023,173.71999816894532,1.17
2024,229.56499938964845,1.28
2025,374.0,1.19
