country_code,year,crop_index
BRA,2001,57.21
BRA,2006,71.56
BRA,2010,87.79
BRA,2015,102.82
BRA,2018,109.91
BRA,2019,112.23
BRA,2020,116.58
COL,2015,100.36
COL,2018,84.67
COL,2019,110.94
ETH,2009,65.63
ETH,2011,76.5
ETH,2012,80.55
ETH,2021,114.29
IDN,2004,73.48
IDN,2008,84.3
IDN,2009,86.83
IDN,2010,92.62
IDN,2012,99.52
IDN,2017,108.58
IDN,2018,112.99
IDN,2019,107.87
VNM,2004,70.93
VNM,2006,74.28
VNM,2008,80.53
VNM,2010,83.27
VNM,2011,87.26
VNM,2015,100.98
VNM,2017,101.53
VNM,2020,106.01
VNM,2021,109.24
