Year,temp_anomaly_c,above_stress_threshold
1880,-0.17,False
1881,-0.09,False
1882,-0.11,False
1883,-0.18,False
1884,-0.28,False
1885,-0.34,False
1886,-0.32,False
1887,-0.36,False
1888,-0.18,False
1889,-0.11,False
1890,-0.36,False
1891,-0.23,False
1892,-0.28,False
1893,-0.32,False
1894,-0.31,False
1895,-0.23,False
1896,-0.12,False
1897,-0.12,False
1898,-0.28,False
1899,-0.18,False
1900,-0.09,False
1901,-0.17,False
1902,-0.29,False
1903,-0.38,False
1904,-0.48,False
1905,-0.27,False
1906,-0.23,False
1907,-0.39,False
1908,-0.43,False
1909,-0.49,False
1910,-0.45,False
1911,-0.45,False
1912,-0.37,False
1913,-0.36,False
1914,-0.16,False
1915,-0.15,False
1916,-0.37,False
1917,-0.47,False
1918,-0.31,False
1919,-0.28,False
1920,-0.28,False
1921,-0.19,False
1922,-0.29,False
1923,-0.27,False
1924,-0.28,False
1925,-0.22,False
1926,-0.11,False
1927,-0.22,False
1928,-0.2,False
1929,-0.36,False
1930,-0.16,False
1931,-0.09,False
1932,-0.16,False
1933,-0.29,False
1934,-0.13,False
1935,-0.2,False
1936,-0.15,False
1937,-0.03,False
1938,0.0,False
1939,-0.02,False
1940,0.12,False
1941,0.18,False
1942,0.06,False
1943,0.09,False
1944,0.2,False
1945,0.09,False
1946,-0.07,False
1947,-0.03,False
1948,-0.11,False
1949,-0.11,False
1950,-0.17,False
1951,-0.07,False
1952,0.01,False
1953,0.08,False
1954,-0.13,False
1955,-0.14,False
1956,-0.19,False
1957,0.05,False
1958,0.06,False
1959,0.03,False
1960,-0.02,False
1961,0.06,False
1962,0.03,False
1963,0.05,False
1964,-0.2,False
1965,-0.11,False
1966,-0.06,False
1967,-0.02,False
1968,-0.08,False
1969,0.05,False
1970,0.03,False
1971,-0.08,False
1972,0.01,False
1973,0.16,False
1974,-0.07,False
1975,-0.01,False
1976,-0.1,False
1977,0.18,False
1978,0.07,False
1979,0.16,False
1980,0.25,False
1981,0.32,False
1982,0.14,False
1983,0.31,False
1984,0.15,False
1985,0.12,False
1986,0.18,False
1987,0.32,False
1988,0.39,False
1989,0.27,False
1990,0.45,False
1991,0.4,False
1992,0.22,False
1993,0.23,False
1994,0.31,False
1995,0.44,False
1996,0.33,False
1997,0.46,False
1998,0.61,False
1999,0.38,False
2000,0.39,False
2001,0.53,False
2002,0.62,False
2003,0.61,False
2004,0.53,False
2005,0.68,False
2006,0.64,False
2007,0.66,False
2008,0.54,False
2009,0.65,False
2010,0.72,False
2011,0.61,False
2012,0.64,False
2013,0.67,False
2014,0.75,False
2015,0.89,False
2016,1.01,True
2017,0.91,False
2018,0.85,False
2019,0.98,False
2020,1.01,True
2021,0.85,False
2022,0.89,False
2023,1.17,True
2024,1.28,True
2025,1.19,True
