year,yield_tonnes_per_hectare,scenario,is_forecast
1973,0.517,Historical,False
1974,0.6022,Historical,False
1975,0.585,Historical,False
1976,0.5258,Historical,False
1977,0.6115,Historical,False
1978,0.6088,Historical,False
1979,0.598,Historical,False
1980,0.6524,Historical,False
1981,0.6654,Historical,False
1982,0.5615,Historical,False
1983,0.64,Historical,False
1984,0.6032,Historical,False
1985,0.7071,Historical,False
1986,0.7567,Historical,False
1987,0.7984,Historical,False
1988,0.7622,Historical,False
1989,0.6708,Historical,False
1990,0.8472,Historical,False
1991,0.8711,Historical,False
1992,0.911,Historical,False
1993,0.8607,Historical,False
1994,0.8906,Historical,False
1995,0.932,Historical,False
1996,0.9583,Historical,False
1997,1.0127,Historical,False
1998,1.0005,Historical,False
1999,0.9862,Historical,False
2000,0.965,Historical,False
2001,0.9126,Historical,False
2002,0.9466,Historical,False
2003,0.8933,Historical,False
2004,0.9839,Historical,False
2005,0.9265,Historical,False
2006,1.0828,Historical,False
2007,1.1389,Historical,False
2008,1.1027,Historical,False
2009,1.0103,Historical,False
2010,1.0953,Historical,False
2011,1.1014,Historical,False
2012,1.1214,Historical,False
2013,1.1644,Historical,False
2014,1.1953,Historical,False
2015,1.221,Historical,False
2016,1.2362,Historical,False
2017,1.248,Historical,False
2018,1.3414,Historical,False
2019,1.3304,Historical,False
2020,1.3994,Historical,False
2021,1.2765,Historical,False
2022,1.354,Historical,False
2023,1.3525,Historical,False
2024,1.4,Optimistic,True
2025,1.39,Optimistic,True
2026,1.38,Optimistic,True
2027,1.37,Optimistic,True
2028,1.36,Optimistic,True
2029,1.35,Optimistic,True
2030,1.34,Optimistic,True
2031,1.33,Optimistic,True
2032,1.32,Optimistic,True
2033,1.3067,Optimistic,True
2034,1.2933,Optimistic,True
2035,1.28,Optimistic,True
2036,1.265,Optimistic,True
2037,1.25,Optimistic,True
2038,1.2333,Optimistic,True
2039,1.2167,Optimistic,True
2040,1.2,Optimistic,True
2024,1.38,Mid,True
2025,1.35,Mid,True
2026,1.31,Mid,True
2027,1.27,Mid,True
2028,1.23,Mid,True
2029,1.19,Mid,True
2030,1.15,Mid,True
2031,1.115,Mid,True
2032,1.08,Mid,True
2033,1.0467,Mid,True
2034,1.0133,Mid,True
2035,0.98,Mid,True
2036,0.94,Mid,True
2037,0.9,Mid,True
2038,0.8667,Mid,True
2039,0.8333,Mid,True
2040,0.8,Mid,True
2024,1.35,Pessimistic,True
2025,1.28,Pessimistic,True
2026,1.2,Pessimistic,True
2027,1.11,Pessimistic,True
2028,1.02,Pessimistic,True
2029,0.93,Pessimistic,True
2030,0.84,Pessimistic,True
2031,0.76,Pessimistic,True
2032,0.68,Pessimistic,True
2033,0.6133,Pessimistic,True
2034,0.5467,Pessimistic,True
2035,0.48,Pessimistic,True
2036,0.4,Pessimistic,True
2037,0.32,Pessimistic,True
2038,0.2733,Pessimistic,True
2039,0.2267,Pessimistic,True
2040,0.18,Pessimistic,True
